ORDER_ID,ORDER_DATE,CUSTOMER_ID,PRODUCT_ID,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,LINE_REVENUE
O0097,2026-04-25,C028,P018,Perfume,Beauty,2,890.15,1780.30
O0098,2026-04-26,C048,P016,Shampoo,Beauty,3,623.66,1870.98
O0120,2026-04-27,C021,P007,Throw Blanket,Home,3,739.05,2217.15
O0029,2026-04-28,C043,P010,Kitchen Scale,Home,3,145.94,437.82
O0008,2026-04-29,C012,P009,Storage Box,Home,2,872.78,1745.56
O0080,2026-04-30,C039,P011,Sneakers,Fashion,4,155.49,621.96
O0128,2026-04-30,C037,P007,Throw Blanket,Home,3,739.05,2217.15
O0143,2026-04-30,C050,P016,Shampoo,Beauty,4,623.66,2494.64
O0122,2026-05-01,C017,P003,Power Bank,Electronics,1,357.65,357.65
O0127,2026-05-02,C016,P005,Smart Watch,Electronics,1,103.56,103.56
O0012,2026-05-05,C011,P014,Sunglasses,Fashion,4,655.85,2623.40
O0100,2026-05-05,C050,P017,Moisturizer,Beauty,2,683.94,1367.88
O0112,2026-05-05,C039,P008,Desk Lamp,Home,2,88.05,176.10
O0113,2026-05-05,C018,P014,Sunglasses,Fashion,1,655.85,655.85
O0089,2026-05-07,C013,P013,Backpack,Fashion,4,450.08,1800.32
O0020,2026-05-09,C038,P016,Shampoo,Beauty,5,623.66,3118.30
O0032,2026-05-10,C035,P007,Throw Blanket,Home,3,739.05,2217.15
O0041,2026-05-10,C014,P009,Storage Box,Home,4,872.78,3491.12
O0067,2026-05-11,C028,P020,Face Mask,Beauty,1,725.36,725.36
O0081,2026-05-11,C029,P007,Throw Blanket,Home,4,739.05,2956.20
O0116,2026-05-17,C009,P020,Face Mask,Beauty,1,725.36,725.36
O0106,2026-05-19,C027,P011,Sneakers,Fashion,4,155.49,621.96
O0047,2026-05-20,C045,P005,Smart Watch,Electronics,1,103.56,103.56
O0045,2026-05-22,C011,P015,Cap,Fashion,4,391.89,1567.56
O0048,2026-05-22,C024,P019,Lip Balm,Beauty,2,1068.27,2136.54
O0093,2026-05-23,C030,P002,Wireless Earbuds,Electronics,2,585.66,1171.32
O0095,2026-05-24,C043,P017,Moisturizer,Beauty,5,683.94,3419.70
O0026,2026-05-25,C043,P019,Lip Balm,Beauty,5,1068.27,5341.35
O0117,2026-05-25,C026,P019,Lip Balm,Beauty,1,1068.27,1068.27
O0146,2026-05-26,C016,P015,Cap,Fashion,5,391.89,1959.45
O0024,2026-05-29,C037,P008,Desk Lamp,Home,5,88.05,440.25
O0131,2026-05-29,C020,P004,USB-C Cable,Electronics,1,151.71,151.71
O0096,2026-06-06,C021,P015,Cap,Fashion,5,391.89,1959.45
O0142,2026-06-07,C042,P009,Storage Box,Home,5,872.78,4363.90
O0071,2026-06-09,C005,P011,Sneakers,Fashion,3,155.49,466.47
O0126,2026-06-09,C013,P001,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0044,2026-06-13,C050,P005,Smart Watch,Electronics,3,103.56,310.68
O0010,2026-06-16,C007,P002,Wireless Earbuds,Electronics,5,585.66,2928.30
O0090,2026-06-17,C016,P005,Smart Watch,Electronics,1,103.56,103.56
O0060,2026-06-18,C015,P001,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0082,2026-06-18,C048,P006,Coffee Mug,Home,1,700.39,700.39
O0016,2026-06-19,C045,P018,Perfume,Beauty,4,890.15,3560.60
O0083,2026-06-19,C019,P017,Moisturizer,Beauty,5,683.94,3419.70
O0051,2026-06-20,C014,P008,Desk Lamp,Home,1,88.05,88.05
O0073,2026-06-20,C033,P010,Kitchen Scale,Home,4,145.94,583.76
O0114,2026-06-21,C025,P011,Sneakers,Fashion,4,155.49,621.96
O0004,2026-06-22,C047,P002,Wireless Earbuds,Electronics,1,585.66,585.66
O0076,2026-06-23,C043,P013,Backpack,Fashion,2,450.08,900.16
O0132,2026-06-23,C020,P019,Lip Balm,Beauty,4,1068.27,4273.08
O0104,2026-06-27,C015,P013,Backpack,Fashion,2,450.08,900.16
O0074,2026-06-28,C021,P013,Backpack,Fashion,3,450.08,1350.24
O0035,2026-06-30,C029,P018,Perfume,Beauty,3,890.15,2670.45
O0140,2026-07-01,C041,P015,Cap,Fashion,2,391.89,783.78
O0072,2026-07-04,C043,P004,USB-C Cable,Electronics,3,151.71,455.13
O0005,2026-07-06,C004,P013,Backpack,Fashion,3,450.08,1350.24
O0066,2026-07-06,C028,P012,Denim Jacket,Fashion,3,115.18,345.54
O0141,2026-07-07,C028,P006,Coffee Mug,Home,5,700.39,3501.95
O0018,2026-07-08,C004,P019,Lip Balm,Beauty,5,1068.27,5341.35
O0055,2026-07-08,C002,P006,Coffee Mug,Home,3,700.39,2101.17
O0111,2026-07-11,C027,P018,Perfume,Beauty,5,890.15,4450.75
O0091,2026-07-19,C049,P004,USB-C Cable,Electronics,4,151.71,606.84
O0124,2026-07-19,C015,P003,Power Bank,Electronics,1,357.65,357.65
O0130,2026-07-19,C039,P004,USB-C Cable,Electronics,2,151.71,303.42
O0079,2026-07-21,C014,P014,Sunglasses,Fashion,5,655.85,3279.25
O0149,2026-07-24,C014,P012,Denim Jacket,Fashion,3,115.18,345.54
O0092,2026-07-25,C015,P006,Coffee Mug,Home,5,700.39,3501.95
O0001,2026-07-26,C016,P016,Shampoo,Beauty,4,623.66,2494.64
O0009,2026-07-26,C005,P015,Cap,Fashion,5,391.89,1959.45
O0135,2026-07-26,C044,P020,Face Mask,Beauty,1,725.36,725.36
O0084,2026-07-29,C022,P003,Power Bank,Electronics,2,357.65,715.30
O0059,2026-07-30,C023,P010,Kitchen Scale,Home,2,145.94,291.88
O0099,2026-08-04,C049,P008,Desk Lamp,Home,3,88.05,264.15
O0115,2026-08-04,C047,P006,Coffee Mug,Home,4,700.39,2801.56
O0087,2026-08-06,C031,P020,Face Mask,Beauty,1,725.36,725.36
O0033,2026-08-14,C009,P012,Denim Jacket,Fashion,1,115.18,115.18
O0054,2026-08-14,C011,P006,Coffee Mug,Home,4,700.39,2801.56
O0150,2026-08-14,C022,P009,Storage Box,Home,5,872.78,4363.90
O0052,2026-08-15,C023,P018,Perfume,Beauty,4,890.15,3560.60
O0088,2026-08-15,C030,P014,Sunglasses,Fashion,5,655.85,3279.25
O0038,2026-08-16,C017,P004,USB-C Cable,Electronics,1,151.71,151.71
O0050,2026-08-19,C024,P002,Wireless Earbuds,Electronics,3,585.66,1756.98
O0013,2026-08-20,C014,P013,Backpack,Fashion,1,450.08,450.08
O0053,2026-08-25,C040,P005,Smart Watch,Electronics,2,103.56,207.12
O0011,2026-08-26,C001,P003,Power Bank,Electronics,2,357.65,715.30
O0037,2026-08-29,C020,P004,USB-C Cable,Electronics,2,151.71,303.42
O0108,2026-08-31,C025,P019,Lip Balm,Beauty,1,1068.27,1068.27
O0125,2026-09-01,C049,P001,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0021,2026-09-03,C011,P002,Wireless Earbuds,Electronics,5,585.66,2928.30
